clusterID	comparison	p-value
chr1:18369-18500:+	SRR12801019_SRR12801023	1.0
chr1:18369-18500:+	SRR12801019_SRR12801020	1.0
chr1:18369-18500:+	SRR12801019_SRR12801024	1.0
chr1:18369-18500:+	SRR12801023_SRR12801020	0.2554080281018893
chr1:18369-18500:+	SRR12801023_SRR12801024	0.0319853999946022
chr1:18369-18500:+	SRR12801020_SRR12801024	1.0
chr1:168165-168609:+	SRR12801019_SRR12801023	1.0
chr1:168165-168609:+	SRR12801019_SRR12801020	1.0
chr1:168165-168609:+	SRR12801019_SRR12801024	0.6239004553652021
chr1:168165-168609:+	SRR12801023_SRR12801020	0.138676849614301
chr1:168165-168609:+	SRR12801023_SRR12801024	0.0014614597986225
chr1:168165-168609:+	SRR12801020_SRR12801024	1.0
chr1:168165-169048:+	SRR12801019_SRR12801023	1.0
chr1:168165-169048:+	SRR12801019_SRR12801020	1.0
chr1:168165-169048:+	SRR12801019_SRR12801024	0.6239004553652021
chr1:168165-169048:+	SRR12801023_SRR12801020	0.138676849614301
chr1:168165-169048:+	SRR12801023_SRR12801024	0.0014614597986225
chr1:168165-169048:+	SRR12801020_SRR12801024	1.0
chr1:188902-195262:-	SRR12801019_SRR12801023	1.0
chr1:188902-195262:-	SRR12801019_SRR12801020	1.0
chr1:188902-195262:-	SRR12801019_SRR12801024	0.00187812192761
chr1:188902-195262:-	SRR12801023_SRR12801020	1.0
chr1:188902-195262:-	SRR12801023_SRR12801024	0.0543884004708251
chr1:188902-195262:-	SRR12801020_SRR12801024	0.1961064526983124
chr1:498456-501555:+	SRR12801019_SRR12801023	0.4621567325417791
chr1:498456-501555:+	SRR12801019_SRR12801020	0.1783399318952356
chr1:498456-501555:+	SRR12801019_SRR12801024	3.922513150744513e-05
chr1:498456-501555:+	SRR12801023_SRR12801020	1.0
chr1:498456-501555:+	SRR12801023_SRR12801024	1.0
chr1:498456-501555:+	SRR12801020_SRR12801024	0.3040196564424852
chr1:729804-729897:+	SRR12801019_SRR12801023	1.0
chr1:729804-729897:+	SRR12801019_SRR12801020	0.8033852244210585
chr1:729804-729897:+	SRR12801019_SRR12801024	0.0015041658360725
chr1:729804-729897:+	SRR12801023_SRR12801020	1.0
chr1:729804-729897:+	SRR12801023_SRR12801024	0.127727683906937
chr1:729804-729897:+	SRR12801020_SRR12801024	0.6201985412354025
chr1:729955-732016:+	SRR12801019_SRR12801023	1.0
chr1:729955-732016:+	SRR12801019_SRR12801020	0.0043629558818927
chr1:729955-732016:+	SRR12801019_SRR12801024	1.0
chr1:729955-732016:+	SRR12801023_SRR12801020	0.4013894801379636
chr1:729955-732016:+	SRR12801023_SRR12801024	1.0
chr1:729955-732016:+	SRR12801020_SRR12801024	0.0181940157267534
chr1:733364-735418:-	SRR12801019_SRR12801023	1.0
chr1:733364-735418:-	SRR12801019_SRR12801020	1.0
chr1:733364-735418:-	SRR12801019_SRR12801024	1.0
chr1:733364-735418:-	SRR12801023_SRR12801020	1.0
chr1:733364-735418:-	SRR12801023_SRR12801024	0.0346570238112393
chr1:733364-735418:-	SRR12801020_SRR12801024	0.834025182855411
chr1:733364-735422:-	SRR12801019_SRR12801023	1.0
chr1:733364-735422:-	SRR12801019_SRR12801020	0.503426152033501
chr1:733364-735422:-	SRR12801019_SRR12801024	0.007111055574817
chr1:733364-735422:-	SRR12801023_SRR12801020	1.0
chr1:733364-735422:-	SRR12801023_SRR12801024	1.0
chr1:733364-735422:-	SRR12801020_SRR12801024	1.0
chr1:733364-743285:-	SRR12801019_SRR12801023	1.0
chr1:733364-743285:-	SRR12801019_SRR12801020	1.0
chr1:733364-743285:-	SRR12801019_SRR12801024	0.0080795064398735
chr1:733364-743285:-	SRR12801023_SRR12801020	1.0
chr1:733364-743285:-	SRR12801023_SRR12801024	7.240999100762627e-06
chr1:733364-743285:-	SRR12801020_SRR12801024	0.0002503123434164
chr1:746818-749237:-	SRR12801019_SRR12801023	1.0
chr1:746818-749237:-	SRR12801019_SRR12801020	0.4885750902957979
chr1:746818-749237:-	SRR12801019_SRR12801024	0.0174575581878564
chr1:746818-749237:-	SRR12801023_SRR12801020	1.0
chr1:746818-749237:-	SRR12801023_SRR12801024	0.1911824021159086
chr1:746818-749237:-	SRR12801020_SRR12801024	1.0
chr1:999613-999691:-	SRR12801019_SRR12801023	1.0
chr1:999613-999691:-	SRR12801019_SRR12801020	1.0
chr1:999613-999691:-	SRR12801019_SRR12801024	0.1196603124249978
chr1:999613-999691:-	SRR12801023_SRR12801020	0.539088513028187
chr1:999613-999691:-	SRR12801023_SRR12801024	1.0
